ORDER_ID,PRODUCT_ID,CUSTOMER_ID,ORDER_DATE,ORDER_AMOUNT,CREATED_DATE,QUANTITY
111000,1917,1,2024-04-18,965.00,2024-05-09 00:00:00.000 Z,1
111001,1917,1,2024-03-26,1930.00,2024-01-20 00:00:00.000 Z,2
111002,1917,1,2024-03-20,2895.00,2024-03-09 00:00:00.000 Z,3
111003,1917,1,2024-05-08,965.00,2024-06-02 00:00:00.000 Z,1
111004,1917,1,2024-03-07,5790.00,2024-05-02 00:00:00.000 Z,6
111005,1917,1,2023-12-08,4825.00,2024-03-18 00:00:00.000 Z,5
111006,1917,1,2024-05-22,965.00,2024-02-28 00:00:00.000 Z,1
111007,1917,1,2024-01-28,7720.00,2024-04-22 00:00:00.000 Z,8
111008,1917,1,2024-05-08,965.00,2024-03-03 00:00:00.000 Z,1
111009,1917,1,2024-05-22,4825.00,2024-02-29 00:00:00.000 Z,5
111010,1917,1,2023-12-14,5790.00,2024-06-27 00:00:00.000 Z,6
111011,1917,1,2024-05-10,4825.00,2024-05-07 00:00:00.000 Z,5
111012,1917,1,2024-01-21,2895.00,2024-05-07 00:00:00.000 Z,3
111013,1917,1,2024-05-24,3860.00,2024-05-15 00:00:00.000 Z,4
111014,1917,1,2024-03-11,6755.00,2024-04-06 00:00:00.000 Z,7
111015,1917,1,2024-01-12,1930.00,2024-06-18 00:00:00.000 Z,2
111016,1917,1,2024-02-06,2895.00,2024-01-27 00:00:00.000 Z,3
111017,1917,1,2024-02-11,7720.00,2024-03-03 00:00:00.000 Z,8
111018,1917,1,2024-01-08,4825.00,2024-04-24 00:00:00.000 Z,5
111019,1953,1,2024-05-13,985.00,2024-06-06 00:00:00.000 Z,1
111020,1953,1,2024-02-07,985.00,2024-02-03 00:00:00.000 Z,1
111021,1953,1,2024-01-10,2955.00,2024-06-15 00:00:00.000 Z,3
111022,1953,1,2024-02-18,4925.00,2024-06-18 00:00:00.000 Z,5
111023,1953,1,2024-02-27,985.00,2024-06-07 00:00:00.000 Z,1
111024,1953,1,2023-12-01,3940.00,2024-06-17 00:00:00.000 Z,4
111025,1948,1,2023-12-11,946.00,2024-06-29 00:00:00.000 Z,1
111026,1948,1,2023-12-17,5676.00,2024-01-07 00:00:00.000 Z,6
111027,1948,1,2024-03-21,2838.00,2024-04-19 00:00:00.000 Z,3
111028,1948,1,2024-03-14,6622.00,2024-03-13 00:00:00.000 Z,7
111029,1948,1,2024-04-18,1892.00,2024-04-06 00:00:00.000 Z,2
111030,1966,2,2024-03-29,7672.00,2024-02-02 00:00:00.000 Z,8
111031,1966,2,2024-05-23,5754.00,2024-01-15 00:00:00.000 Z,6
111032,1966,2,2024-02-27,2877.00,2024-02-20 00:00:00.000 Z,3
111033,1966,2,2024-01-20,1918.00,2024-02-25 00:00:00.000 Z,2
111034,1966,2,2024-04-26,8631.00,2024-03-12 00:00:00.000 Z,9
111035,1966,2,2024-03-27,6713.00,2024-04-05 00:00:00.000 Z,7
111036,1966,2,2024-05-07,4795.00,2024-06-28 00:00:00.000 Z,5
111037,1966,2,2023-12-03,7672.00,2024-06-22 00:00:00.000 Z,8
111038,1966,2,2024-02-11,2877.00,2024-01-14 00:00:00.000 Z,3
111039,1966,2,2024-03-30,959.00,2024-02-02 00:00:00.000 Z,1
111040,1944,3,2024-04-28,992.00,2024-01-13 00:00:00.000 Z,1
111041,1944,3,2024-01-23,3968.00,2024-05-26 00:00:00.000 Z,4
111042,1944,3,2023-12-05,1984.00,2024-03-20 00:00:00.000 Z,2
111043,1944,3,2024-03-09,4960.00,2024-05-23 00:00:00.000 Z,5
